檔案名稱,編號,漢字,拼音,詞性,英文定義
B1-L11.pptx,II-7,好像,hǎoxiàng,Adv,"to seem to be, to appear to be; (often used to take the edge off of a; comment)"
B1-L11.pptx,II-8,會,huì,Vaux,will
B1-L11.pptx,II-9,等,děng,V,to wait for
B1-L11.pptx,II-10,那,nà,Ptc,"then, in that case"
B1-L11.pptx,II-11,裝,zhuāng,V,to install
B1-L11.pptx,II-12,不過,búguò,Conj,"however, but"
B1-L11.pptx,II-13,付,fù,V,to pay
B1-L11.pptx,II-14,收到,shōudào,,to receive
B1-L11.pptx,II-15,不好意思,bùhǎo	yìsi,,sorry
B1-L11.pptx,II-16,沒關係,méi	guānxi,,Not a problem
B1-L11.pptx,II-17,有線電視,yǒuxiàn	diànshì,,cable TV
B1-L12.pptx,I-1,計畫,jìhuà,V,to plan to
B1-L12.pptx,I-2,年,nián,M,measure word for year
B1-L12.pptx,I-3,久,jiǔ,Vs,long
B1-L12.pptx,I-4,時間,shíjiān,N,time
B1-L12.pptx,I-5,先,xiān,Adv,first
B1-L12.pptx,I-6,念,niàn,V,to study
B1-L12.pptx,I-7,大學,dàxué,N,university
B1-L12.pptx,I-8,需要,xūyào,Vst,to need
B1-L12.pptx,I-9,花,huā,V,to spend (time or money)
B1-L12.pptx,I-10,獎學金,jiǎngxuéjīn,N,scholarship
B1-L12.pptx,I-11,成績,chéngjī,N,grades
B1-L12.pptx,I-12,學費,xuéfèi,N,tuition
B1-L12.pptx,I-13,公司,gōngsī,N,company
B1-L12.pptx,I-14,替,tì,Prep,"for, on behalf of"
B1-L12.pptx,I-15,希望,xīwàng,Vst,to hope
B1-L12.pptx,I-16,以後,yǐhòu,N,in the future
B1-L12.pptx,I-17,到,dào,V,to go/ come to
B1-L12.pptx,I-18,上班,shàngbān,,(V-sep) to go to work
B1-L12.pptx,I-19,念書,niànshū,,(V-sep) to study
B1-L12.pptx,I-20,累,lèi,Vs,tired
B1-L12.pptx,I-21,語言中心,yǔyán	zhōngxīn,,language center
B1-L12.pptx,I-22,加油,jiāyóu,,keep up the good work
B1-L12.pptx,II-1,工作,gōngzuò,Vi,to work
B1-L12.pptx,II-2,去年,qùnián,N,last year
B1-L12.pptx,II-3,做,zuò,V,"to do, to engage in"
